UniProtAC	LOC_GO	LOC_NAME	In SwissProt	ChildOf SwissProt	In LocTree3	Confirmed	Num Docs	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID
Q03497	GO:0016020	membrane	FALSE	FALSE	FALSE		3	18618697	17914055	16428446																																																																								
P11978	GO:0005730	nucleolus	FALSE	FALSE	FALSE		3	10835361	9214640	9601014																																																																								
P11655	GO:0030133	transport vesicle	FALSE	FALSE	FALSE		3	8589449	8707815	9159953																																																																								
P39904	GO:0005773	vacuole	FALSE	FALSE	FALSE		3	24550313	24757006	10637310																																																																								
P53845	GO:0005773	vacuole	FALSE	FALSE	FALSE		3	17101785	26344761	21441304																																																																								
P05030	GO:0005773	vacuole	FALSE	FALSE	FALSE		3	12244215	16155007	26466678																																																																								
P39723	GO:0005874	microtubule	FALSE	FALSE	FALSE		3	9606209	10428957	18022565																																																																								
P43606	GO:0005576	extracellular region	FALSE	FALSE	FALSE		3	10409731	18307103	11154269																																																																								
P07342	GO:0005829	cytosol	FALSE	FALSE	FALSE		3	21131528	18193418	22954227																																																																								
P19073	GO:0005829	cytosol	FALSE	FALSE	TRUE		3	7653591	18779335	11306516																																																																								
P50111	GO:0005634	nucleus	FALSE	FALSE	FALSE		3	21536748	22428880	24800822																																																																								
P47069	GO:0005637	nuclear inner membrane	FALSE	TRUE	FALSE		3	21518795	22496415	25940904																																																																								
Q03497	GO:0005886	plasma membrane	FALSE	FALSE	FALSE		3	18256288	16546088	16428446																																																																								
Q12303	GO:0005618	cell wall	FALSE	FALSE	FALSE		3	15821128	17403872	8757832																																																																								
P32795	GO:0005634	nucleus	FALSE	FALSE	FALSE		3	22857949	7498726	9683639																																																																								
